Row,Anon Student Id,Session Id,Time,Duration (sec),Student Response Type,Student Response Subtype,Tutor Response Type,Tutor Response Subtype,Level (Unit),Problem Name,Problem View,Problem Start Time,Step Name,Attempt At Step,Outcome,Selection,Action,Input,Feedback Text,Feedback Classification,Help Level,Condition Name,KC (Step),KC Category (Step),KC (Problem),KC Category (Problem),KC (ActualSkill),KC Category (ActualSkill),KC (Default),KC Category (Default),KC (Single-KC),KC Category (Single-KC),KC (Unique-step),KC Category (Unique-step),School,Class,CF (ACTION),ExampleProblemTypeQuestion,Problem From Examples Tab?,Quiz ID,Problem from Failed Quiz Questions?,Count of Quiz Problems per Block,Metatutor Hint Followed?,Problem Category,Full Skillometer Opp Count,CF (ACTION_TYPE),CF (DURATION),CF (INFO),CF (RESULT),CF (STATUS),CF (STUDENT_LOG_COUNT),CF (USERID),CF (date),CF (tool_event_time)
623,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45296,12,HINT_REQUEST,,HINT_MSG,,simStSession,START,1,41650.45282,Unknown,1,UNGRADED,,,,,,,MetaTutor,,,,,,,,,Single-KC,,KC106,,Pilot,Pilot,Peer Learning Environment Started,,,,,,,,,SIM_STUDENT_PLE,,,,Start,0,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:52:15.901
624,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45307,9,HINT_REQUEST,,HINT_MSG,,simStSession,START,1,41650.45282,'START,1,UNGRADED,,,,Joe: Can you pick my next problem?,,,MetaTutor,,,,,,,,,Single-KC,,KC121,,Pilot,Pilot,Chat Dialog Entered,,,,,,,,,SIM_STUDENT_DIALOGUE,,,,Start,1,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:52:25.898
625,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.4536,46,HINT_REQUEST,,HINT_MSG,,simStSession,START,1,41650.45282,'START,2,UNGRADED,,,,Anna:  Can you pick my next problem?,,,MetaTutor,,,,,,,,,Single-KC,,KC121,,Pilot,Pilot,Chat Dialog Entered,,,,,,,,,SIM_STUDENT_DIALOGUE,,,,Start,2,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:53:11.682
626,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45361,1,HINT_REQUEST,,HINT_MSG,,simStSession,START,1,41650.45282,Unknown,2,UNGRADED,,,,,,,MetaTutor,,,,,,,,,Single-KC,,KC106,,Pilot,Pilot,Avatar Image Saved,,,,,,,,,SIM_STUDENT_PLE,54350,%img/head1.png%img/hair7.png%img/shirt8.png,Anna,Start,3,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:53:12.258
627,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45365,1.5,HINT_REQUEST,,HINT_MSG,,simStSession,START,1,41650.45282,Unknown,3,UNGRADED,,,,,,,MetaTutor,,,,,,,,,Single-KC,,KC106,,Pilot,Pilot,Left Tab,,,,,,,,,SIM_STUDENT_ACTION_LISTENER,57375,,Anna,Start,4,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:53:15.691
628,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45365,1.5,HINT_REQUEST,,HINT_MSG,,simStSession,START,1,41650.45282,Unknown,4,UNGRADED,,,,,,,MetaTutor,,,,,,,,,Single-KC,,KC106,,Pilot,Pilot,Switched Tab,,,,,,,,,SIM_STUDENT_ACTION_LISTENER,,,Unit Overview,Start,5,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:53:15.916
629,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45366,0.5,ATTEMPT,Student,RESULT,Logged Only,simStSession,START,1,41650.45282,'START,3,INCORRECT,UnitOverview,TabClicked,'-1,,,,MetaTutor,,,,,problem-entry-Student,problem-entry,quiz-Student,quiz,Single-KC,,KC121,,Pilot,Pilot,Metatutor Model Traced,,,,,,,,,SIM_STUDENT_METATUTOR,,,simst-launch-take-quiz,Start,6,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:53:16.232
630,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45366,0.5,ATTEMPT,Student,RESULT,Logged Only,simStSession,START,1,41650.45282,'START,4,CORRECT,UnitOverview,TabClicked,'-1,,,,MetaTutor,,,,,problem-entry-Student,problem-entry,problem-entry-Student,problem-entry,Single-KC,,KC121,,Pilot,Pilot,Metatutor Model Traced,,,,,,,,,SIM_STUDENT_METATUTOR,,,simst-tab-clicked,Start,7,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:53:16.351
631,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45376,3,HINT_REQUEST,,HINT_MSG,,simStSession,START,1,41650.45282,Unknown,5,UNGRADED,,,,,,,MetaTutor,,,,,,,,,Single-KC,,KC106,,Pilot,Pilot,Left Tab,,,,,,,,,SIM_STUDENT_ACTION_LISTENER,9934,,Unit Overview,Start,8,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:53:25.623
632,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45376,3,HINT_REQUEST,,HINT_MSG,,simStSession,START,1,41650.45282,Unknown,6,UNGRADED,,,,,,,MetaTutor,,,,,,,,,Single-KC,,KC106,,Pilot,Pilot,Switched Tab,,,,,,,,,SIM_STUDENT_ACTION_LISTENER,,,<html><body leftmargin=15 topmargin=8 marginwidth=15 marginheight=5>Examples</body></html>,Start,9,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:53:25.785
